100 30
1801310 65.5 78.5
1804425 46.5 79.5
1810827 99.0 89.5
1811398 34.5 99.0
1812167 99.0 59.5
1814348 99.0 73.5
1815646 64.0 79.5
1822607 66.0 59.0
1828016 79.5 80.0
1835247 65.5 51.0
1838912 86.5 53.5
1844734 94.5 51.0
1855456 70.5 39.0
1868058 65.5 75.0
1868578 59.5 53.5
1871813 24.5 84.5
1875869 94.0 59.0
1882149 45.0 45.0
1892631 89.0 75.0
1894369 61.5 31.0
1898192 72.0 83.0
1901402 70.0 35.0
1903578 88.0 37.0
1907567 85.0 70.0
1915819 50.5 68.5
1920499 54.5 61.5
1923106 84.0 83.0
1924280 32.5 96.5
1925619 74.5 74.5
1932827 56.0 28.0
1938973 69.5 54.5
1955979 77.0 96.5
1956052 56.0 55.0
1961463 99.0 36.5
1962016 29.0 47.0
1963755 47.0 40.0
1971335 47.0 44.0
1975305 43.5 38.0
1975802 61.5 57.5
1979701 99.0 41.0
1980890 61.5 75.5
1983929 58.0 38.5
1987434 99.0 98.5
1991995 68.0 43.5
1992226 30.0 59.0
1996334 40.0 77.5
2003492 42.5 54.5
2005275 78.0 80.5
2013607 80.0 49.0
2014621 88.0 77.0
2022465 19.5 46.0
2049436 39.0 89.0
2050486 75.5 97.0
2066237 59.5 68.0
2067524 43.5 61.5
2068293 82.5 25.5
2068701 60.0 70.5
2078406 72.0 75.5
2079765 79.0 46.5
2080816 99.0 58.0
2082586 58.0 38.5
2083148 19.5 75.0
2086500 74.5 60.0
2086935 68.0 100.0
2092266 46.0 56.0
2095152 54.0 54.5
2097280 87.5 92.5
2097299 99.0 66.0
2099309 37.5 76.5
2105013 5.5 71.5
2116305 20.0 77.5
2117615 71.5 94.5
2119755 73.5 96.5
2121797 46.5 73.0
2124632 57.5 60.5
2125759 49.0 44.5
2127004 68.5 48.0
2127276 99.0 34.0
2127920 86.5 60.5
2128205 61.5 64.5
2131709 66.0 69.0
2133275 51.5 94.5
2134731 90.0 67.5
2135594 92.0 46.5
2140505 57.0 97.0
2147325 46.5 57.5
2150482 63.5 74.5
2155555 99.0 36.0
2157631 30.5 100.0
2161939 67.5 81.0
2165362 45.0 62.5
2166511 76.5 95.0
2168103 98.0 2.0
2168985 32.0 55.5
2170785 7.5 37.5
2176075 38.0 72.5
2180906 48.5 54.0
2193120 64.5 45.5
2194965 49.5 52.5
2195576 51.5 98.0
