[(1987434, 99,  98, 99, 'A') (1810827, 99,  89, 96, 'A')
 (1814348, 99,  73, 91, 'A') (2097299, 99,  66, 89, 'A')
 (2097280, 87,  92, 89, 'A') (2080816, 99,  58, 87, 'A')
 (1812167, 99,  59, 87, 'A') (2014621, 88,  77, 85, 'A')
 (1892631, 89,  75, 85, 'A') (1923106, 84,  83, 84, 'A')
 (1875869, 94,  59, 84, 'A') (2134731, 90,  67, 83, 'A')
 (1955979, 77,  96, 83, 'A') (2166511, 76,  95, 82, 'A')
 (2050486, 75,  97, 82, 'A') (1979701, 99,  41, 82, 'A')
 (1844734, 94,  51, 81, 'A') (2155555, 99,  36, 80, 'A')
 (2127276, 99,  34, 80, 'A') (2119755, 73,  96, 80, 'A')
 (1961463, 99,  36, 80, 'A') (1907567, 85,  70, 80, 'A')
 (1828016, 79,  80, 80, 'A') (2127920, 86,  60, 79, 'A')
 (2005275, 78,  80, 79, 'A') (2135594, 92,  46, 78, 'A')
 (2117615, 71,  94, 78, 'A') (2086935, 68, 100, 78, 'A')
 (1838912, 86,  53, 77, 'A') (1898192, 72,  83, 75, 'A')
 (1925619, 74,  74, 74, 'A') (2078406, 72,  75, 73, 'A')
 (1903578, 88,  37, 73, 'A') (2161939, 67,  81, 72, 'A')
 (2013607, 80,  49, 71, 'A') (2086500, 74,  60, 70, 'A')
 (2168103, 98,   2, 69, 'B') (2140505, 57,  97, 69, 'B')
 (2079765, 79,  46, 69, 'B') (1815646, 64,  79, 69, 'B')
 (1801310, 65,  78, 69, 'B') (1868058, 65,  75, 68, 'B')
 (2150482, 63,  74, 67, 'B') (2131709, 66,  69, 67, 'B')
 (1980890, 61,  75, 66, 'B') (2195576, 51,  98, 65, 'B')
 (2068293, 82,  25, 65, 'B') (1938973, 69,  54, 65, 'B')
 (2133275, 51,  94, 64, 'B') (1822607, 66,  59, 64, 'B')
 (2068701, 60,  70, 63, 'B') (2128205, 61,  64, 62, 'B')
 (2127004, 68,  48, 62, 'B') (2066237, 59,  68, 62, 'B')
 (1991995, 68,  43, 61, 'B') (1855456, 70,  39, 61, 'B')
 (1835247, 65,  51, 61, 'B') (1975802, 61,  57, 60, 'B')
 (1901402, 70,  35, 60, 'B') (2193120, 64,  45, 59, 'C')
 (2124632, 57,  60, 58, 'C') (1868578, 59,  53, 58, 'C')
 (1920499, 54,  61, 57, 'C') (1956052, 56,  55, 56, 'C')
 (1915819, 50,  68, 56, 'C') (1804425, 46,  79, 56, 'C')
 (2121797, 46,  73, 54, 'C') (2095152, 54,  54, 54, 'C')
 (2049436, 39,  89, 54, 'C') (1811398, 34,  99, 54, 'C')
 (2082586, 58,  38, 52, 'C') (1983929, 58,  38, 52, 'C')
 (1924280, 32,  96, 52, 'C') (1894369, 61,  31, 52, 'C')
 (2157631, 30, 100, 51, 'C') (1996334, 40,  77, 51, 'C')
 (2194965, 49,  52, 50, 'C') (2180906, 48,  54, 50, 'C')
 (2165362, 45,  62, 50, 'C') (2147325, 46,  57, 50, 'C')
 (2099309, 37,  76, 49, 'D') (2092266, 46,  56, 49, 'D')
 (2067524, 43,  61, 49, 'D') (2176075, 38,  72, 48, 'D')
 (2125759, 49,  44, 48, 'D') (1932827, 56,  28, 48, 'D')
 (2003492, 42,  54, 46, 'D') (1971335, 47,  44, 46, 'D')
 (1963755, 47,  40, 45, 'D') (1882149, 45,  45, 45, 'D')
 (1975305, 43,  38, 42, 'D') (1871813, 24,  84, 42, 'D')
 (2168985, 32,  55, 39, 'F') (1992226, 30,  59, 39, 'F')
 (2116305, 20,  77, 37, 'F') (2083148, 19,  75, 36, 'F')
 (1962016, 29,  47, 34, 'F') (2022465, 19,  46, 27, 'F')
 (2105013,  5,  71, 25, 'F') (2170785,  7,  37, 16, 'F')]
